RegionID,SizeRank,RegionName,RegionType,StateName,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30
395144,605,"Tahlequah, OK",msa,OK,122743.0,120618.0,121878.0,119969.0,112399.0,113667.0,102635.0,110934.0,106783.0,122547.0,125057.0,130062.0,123543.0,129177.0,134381.0,145976.0,146726.0,141246.0,146225.0,136779.0,139837.0,135759.0,152065.0,158365.0,153239.0,155758.0,159228.0,164693.0,154748.0,161185.0,166152.0,177580.0,175439.0,181180.0,170467.0,168322.0,161278.0,174296.0,172067.0,166346.0,162868.0,167404.0,184097.0,181536.0,173450.0,175682.0,179636.0,188883.0,182851.0,181738.0,188067.0,190312.0
394548,606,"Durant, OK",msa,OK,,,,,,,,,,,,,,,,,,,153773.0,158922.0,168363.0,178594.0,182814.0,181932.0,179302.0,164182.0,168445.0,160490.0,173135.0,171197.0,178255.0,188532.0,200282.0,210025.0,203043.0,204220.0,209524.0,210951.0,218340.0,216121.0,223873.0,218034.0,227664.0,227282.0,229167.0,216523.0,226844.0,227636.0,231413.0,225382.0,228787.0,225291.0
753911,607,"Ozark, AL",msa,AL,95159.0,93105.0,94217.0,94900.0,91070.0,97537.0,104666.0,104414.0,111553.0,105505.0,117197.0,112660.0,115718.0,113737.0,108620.0,114305.0,104189.0,108877.0,106749.0,110874.0,119574.0,124415.0,133442.0,133593.0,129998.0,136976.0,136684.0,138667.0,135162.0,137326.0,134123.0,120933.0,121670.0,126059.0,135583.0,130868.0,133381.0,137871.0,146408.0,147240.0,153733.0,155508.0,153696.0,150721.0,143483.0,141100.0,139691.0,146549.0,145488.0,151525.0,153187.0,153139.0
394431,608,"Cadillac, MI",msa,MI,122091.0,116665.0,121685.0,122889.0,135273.0,129385.0,133393.0,125465.0,124699.0,121933.0,119556.0,127795.0,137498.0,135864.0,131622.0,121617.0,123607.0,133723.0,142802.0,150081.0,152541.0,158270.0,153731.0,149817.0,145325.0,151624.0,151148.0,147007.0,151690.0,147784.0,147457.0,149949.0,164351.0,171150.0,168004.0,175224.0,175417.0,191012.0,175727.0,184887.0,172753.0,190393.0,182846.0,193019.0,183674.0,190908.0,182167.0,191940.0,181313.0,184535.0,183388.0,189420.0
394876,612,"Montrose, CO",msa,CO,249767.0,243844.0,244291.0,248124.0,249822.0,253700.0,243900.0,243341.0,238887.0,239914.0,246994.0,254401.0,258548.0,265664.0,270683.0,277056.0,273437.0,269593.0,280877.0,274781.0,281926.0,263349.0,269203.0,269511.0,279620.0,287845.0,302239.0,321972.0,329520.0,351636.0,343049.0,360492.0,367498.0,396742.0,393678.0,390518.0,384202.0,412026.0,410813.0,423493.0,432216.0,447910.0,448499.0,438982.0,448788.0,461231.0,474764.0,467515.0,457284.0,443974.0,440607.0,436870.0
394954,613,"Pahrump, NV",msa,NV,236117.0,232375.0,228803.0,215262.0,219262.0,230756.0,235440.0,241667.0,244895.0,246757.0,246317.0,244261.0,245305.0,239774.0,241631.0,251076.0,257572.0,255790.0,248973.0,249188.0,248782.0,248276.0,250451.0,256806.0,260509.0,266176.0,267226.0,275280.0,278278.0,276255.0,277379.0,272914.0,276240.0,280643.0,297050.0,313853.0,320655.0,326754.0,337459.0,345616.0,343644.0,343748.0,351637.0,360920.0,370385.0,371519.0,376700.0,370292.0,366124.0,354003.0,350135.0,351540.0
394906,614,"New Castle, IN",msa,IN,102863.0,112175.0,105269.0,101540.0,105327.0,94789.0,100709.0,96069.0,100968.0,99780.0,100860.0,105045.0,108685.0,105389.0,106531.0,105106.0,104080.0,106110.0,104960.0,105576.0,98612.0,98760.0,95799.0,110266.0,111618.0,122998.0,113583.0,116427.0,108116.0,104726.0,108528.0,115254.0,117996.0,116423.0,120413.0,134157.0,132879.0,138194.0,142475.0,149727.0,142588.0,140570.0,132635.0,140672.0,144930.0,147551.0,138179.0,136114.0,144077.0,150973.0,131820.0,125780.0
394437,617,"Ca-¦on City, CO",msa,CO,204778.0,208146.0,206052.0,195325.0,186895.0,192275.0,191283.0,202494.0,201650.0,206069.0,215342.0,216340.0,221950.0,210086.0,219981.0,220592.0,229963.0,234666.0,223939.0,232874.0,231257.0,237382.0,231226.0,227859.0,234506.0,245635.0,252658.0,253810.0,254057.0,256692.0,274764.0,276403.0,278592.0,276121.0,279414.0,290550.0,297336.0,313885.0,325884.0,343310.0,347784.0,336270.0,319491.0,317205.0,329679.0,343948.0,337138.0,331848.0,324501.0,328940.0,333002.0,328229.0
394739,618,"Kendallville, IN",msa,IN,131142.0,133506.0,131924.0,128690.0,132110.0,137192.0,139204.0,135567.0,129802.0,129358.0,136814.0,138345.0,139588.0,136785.0,138899.0,143668.0,143993.0,147238.0,145044.0,143389.0,140197.0,139869.0,133585.0,129171.0,130113.0,140034.0,151789.0,157623.0,152423.0,150946.0,147155.0,154023.0,161428.0,174046.0,170767.0,171715.0,167939.0,174964.0,177965.0,180358.0,183576.0,182877.0,182958.0,181270.0,180404.0,177373.0,177137.0,179912.0,176431.0,185755.0,182866.0,192428.0
394379,619,"Bemidji, MN",msa,MN,,,,,,,,172718.0,175851.0,182987.0,176256.0,174458.0,162872.0,169007.0,168442.0,167530.0,165264.0,184097.0,200126.0,195427.0,188344.0,187553.0,197733.0,193397.0,197522.0,193776.0,201461.0,198311.0,210081.0,200440.0,207715.0,197899.0,209534.0,206005.0,212656.0,207559.0,210173.0,206055.0,211718.0,214680.0,215431.0,223149.0,222196.0,227861.0,225127.0,225576.0,233542.0,236508.0,247164.0,242025.0,239639.0,242647.0
