".Bloomington, IL Metro Area",19,189,"1,663","1,474",-209,172,-381,-65,282,"2,129","1,847",-393,186,-579
".Bloomington, IN Metro Area",506,-237,"1,251","1,488",708,315,393,282,-279,"1,560","1,839",522,331,191
".Bloomsburg-Berwick, PA Metro Area",177,-330,775,"1,105",502,9,493,96,-398,971,"1,369",494,9,485
".Boise City, ID Metro Area","25,687","1,697","8,299","6,602","24,261",51,"24,210","30,550","2,162","10,427","8,265","28,620",43,"28,577"
".Boston-Cambridge-Newton, MA-NH Metro Area","-36,579","1,036","47,684","46,648","-37,535","10,505","-48,040","-41,700","1,844","59,909","58,065","-43,461","11,316","-54,777"
"..Boston, MA Metro Division","-23,682",849,"20,279","19,430","-24,309","4,688","-28,997","-25,983","1,449","25,507","24,058","-27,214","5,124","-32,338"
"..Cambridge-Newton-Framingham, MA Metro Division","-16,824","1,123","23,734","22,611","-18,079","5,578","-23,657","-20,015","1,465","29,767","28,302","-21,619","5,949","-27,568"
"..Rockingham County-Strafford County, NH Metro Division","3,927",-936,"3,671","4,607","4,853",239,"4,614","4,298","-1,070","4,635","5,705","5,372",243,"5,129"
".Boulder, CO Metro Area","-1,268",96,"2,415","2,319","-1,413",191,"-1,604","-1,215",151,"3,020","2,869","-1,416",199,"-1,615"
".Bowling Green, KY Metro Area","2,616",243,"2,194","1,951","2,372",137,"2,235","2,955",269,"2,698","2,429","2,681",138,"2,543"
".Bremerton-Silverdale-Port Orchard, WA Metro Area","-1,346",-77,"2,755","2,832","-1,289",42,"-1,331","-1,297",-16,"3,478","3,494","-1,290",38,"-1,328"
".Bridgeport-Stamford-Norwalk, CT Metro Area","3,873",450,"9,146","8,696","3,264","1,810","1,454","2,349",612,"11,437","10,825","1,566","2,001",-435
".Brownsville-Harlingen, TX Metro Area","1,838","2,397","5,859","3,462",-658,-18,-640,"2,012","2,994","7,260","4,266","-1,097",-21,"-1,076"
".Brunswick, GA Metro Area",471,-463,"1,140","1,603",923,23,900,468,-581,"1,388","1,969","1,045",23,"1,022"
".Buffalo-Cheektowaga, NY Metro Area","-3,170","-3,154","11,201","14,355",-256,668,-924,"-4,566","-3,827","14,168","17,995",-935,713,"-1,648"
".Burlington, NC Metro Area","2,035",-281,"1,795","2,076","2,322",3,"2,319","2,462",-376,"2,269","2,645","2,844",5,"2,839"
".Burlington-South Burlington, VT Metro Area","1,048",-38,"1,875","1,913","1,048",207,841,"1,049",-45,"2,401","2,446","1,058",214,844
".California-Lexington Park, MD Metro Area",515,270,"1,337","1,067",218,33,185,691,330,"1,667","1,337",330,31,299
".Canton-Massillon, OH Metro Area",-521,"-1,412","4,069","5,481",829,52,777,"-1,049","-1,753","5,170","6,923",667,54,613
".Cape Coral-Fort Myers, FL Metro Area","23,297","-3,184","6,677","9,861","26,813",949,"25,864","27,154","-3,823","8,316","12,139","31,411","1,043","30,368"
".Cape Girardeau, MO-IL Metro Area",218,-237,"1,043","1,280",443,67,376,182,-300,"1,309","1,609",473,69,404
".Carbondale-Marion, IL Metro Area",-390,-327,"1,292","1,619",-75,83,-158,-528,-357,"1,653","2,010",-180,84,-264
".Carson City, NV Metro Area",316,-338,515,853,654,14,640,354,-414,683,"1,097",771,14,757
".Casper, WY Metro Area",-674,-29,901,930,-650,5,-655,-400,9,"1,152","1,143",-414,6,-420
".Cedar Rapids, IA Metro Area","-1,011",137,"3,051","2,914","-1,162",225,"-1,387","-1,085",238,"3,843","3,605","-1,333",233,"-1,566"
".Chambersburg-Waynesboro, PA Metro Area",415,-253,"1,679","1,932",646,87,559,357,-300,"2,102","2,402",642,87,555
".Champaign-Urbana, IL Metro Area",573,414,"2,317","1,903",111,566,-455,158,502,"2,905","2,403",-403,589,-992
".Charleston, WV Metro Area","-2,820","-1,780","2,433","4,213","-1,058",104,"-1,162","-3,839","-2,240","3,039","5,279","-1,601",108,"-1,709"
".Charleston-North Charleston, SC Metro Area","10,091","1,194","9,307","8,113","8,882",666,"8,216","13,416","1,721","11,615","9,894","11,660",711,"10,949"
".Charlotte-Concord-Gastonia, NC-SC Metro Area","31,381","4,737","30,082","25,345","26,652","2,682","23,970","40,717","6,203","37,478","31,275","34,416","2,885","31,531"
".Charlottesville, VA Metro Area","1,166",53,"2,136","2,083","1,126",275,851,"1,164",67,"2,666","2,599","1,122",282,840
".Chattanooga, TN-GA Metro Area","4,042","-1,131","6,041","7,172","5,144",86,"5,058","4,994","-1,312","7,601","8,913","6,287",84,"6,203"
".Cheyenne, WY Metro Area",173,129,"1,125",996,26,11,15,351,188,"1,447","1,259",146,13,133
".Chicago-Naperville-Elgin, IL-IN-WI Metro Area","-91,671","11,138","100,116","88,978","-102,613","4,284","-106,897","-108,568","14,879","125,780","110,901","-123,457","4,342","-127,799"
"..Chicago-Naperville-Evanston, IL Metro Division","-92,687","9,145","76,016","66,871","-101,306","3,878","-105,184","-108,141","12,213","95,472","83,259","-119,992","3,872","-123,864"
"..Elgin, IL Metro Division","2,190","2,329","8,214","5,885",-239,87,-326,"2,058","3,134","10,393","7,259","-1,207",78,"-1,285"
"..Gary, IN Metro Division","1,145","-1,219","7,494","8,713","2,254",133,"2,121","1,037","-1,618","9,341","10,959","2,562",131,"2,431"
"..Lake County-Kenosha County, IL-WI Metro Division","-2,319",883,"8,392","7,509","-3,322",186,"-3,508","-3,522","1,150","10,574","9,424","-4,820",261,"-5,081"
".Chico, CA Metro Area","-1,774",-361,"2,022","2,383","-1,439",14,"-1,453","-3,323",-464,"2,526","2,990","-2,888",16,"-2,904"
".Cincinnati, OH-KY-IN Metro Area","2,268",719,"25,985","25,266","1,296","1,509",-213,"3,051","1,224","32,552","31,328","1,576","1,591",-15
".Clarksville, TN-KY Metro Area","6,697","2,150","5,200","3,050","4,596",-69,"4,665","7,769","2,725","6,531","3,806","5,066",-81,"5,147"
".Cleveland, TN Metro Area","1,628",-389,"1,273","1,662","2,027",34,"1,993","1,774",-492,"1,603","2,095","2,278",34,"2,244"
".Cleveland-Elyria, OH Metro Area","-9,695","-4,927","20,924","25,851","-4,912","1,177","-6,089","-12,589","-6,212","26,188","32,400","-6,432","1,276","-7,708"
".Coeur d'Alene, ID Metro Area","7,143",-33,"1,782","1,815","7,283",-27,"7,310","8,427",-9,"2,269","2,278","8,543",-28,"8,571"
".College Station-Bryan, TX Metro Area","3,177",978,"2,918","1,940","2,148",388,"1,760","3,793","1,283","3,666","2,383","2,440",408,"2,032"
".Colorado Springs, CO Metro Area","6,220","2,854","8,997","6,143","3,249",-41,"3,290","7,688","3,481","11,235","7,754","4,055",-74,"4,129"
".Columbia, MO Metro Area","1,996",552,"2,265","1,713","1,408",263,"1,145","2,259",666,"2,829","2,163","1,549",269,"1,280"
".Columbia, SC Metro Area","7,483",137,"8,961","8,824","7,288",636,"6,652","8,780",130,"11,096","10,966","8,585",677,"7,908"
".Columbus, GA-AL Metro Area","-1,605",366,"4,145","3,779","-1,962",176,"-2,138","-1,347",570,"5,161","4,591","-1,914",205,"-2,119"
".Columbus, IN Metro Area",318,77,975,898,230,198,32,267,95,"1,234","1,139",161,202,-41
