",Metropolitan,State,Avg Rent 2019,Avg Rent 2020,Avg Rent 2021,Avg Rent 2022"
"10,Austin,TX,1453.9976038333334,1454.41267425,1636.725075916667,1858.3425812499997"
"30,Sacramento,CA,1636.9425319166667,1721.8614596666666,1901.5300768333334,2055.7952760000003"
