,Metropolitan,Per capita personal income1_Dollars_2019,Per capita personal income1_Dollars_2020,Per capita personal income1_Dollars_2021,Unnamed: 0,State,Avg Rent 2019,Avg Rent 2020,Avg Rent 2021,Avg Rent 2022
0,Austin,63871.5,65609.0,72319.5,10,TX,1453.9976038333334,1454.41267425,1636.725075916667,1858.34258125
1,Sacramento,57768.75,63128.125,67691.875,30,CA,1636.942531916667,1721.8614596666666,1901.5300768333332,2055.7952760000003
